nama_resto;rating;jenis;resto_geom;;;ulasan
Kuliner Malam;4.4;Restaurant;POINT(110.8295408 -7.5514848);;;84
Warung Kopi TFP (The French Press) Ps.Gedhe;4.5;Restaurant;POINT(110.8313083 -7.5688476);;;1787
Armey Kitchen;4.7;Restaurant;POINT(110.8231976 -7.5732534);;;1451
Tirai Bamboe;4.5;Breakfast;POINT(110.8234464 -7.5701413);;;10
Lesehan Mantep;4.5;Chicken;POINT(110.8461581 -7.5579529);;;192
Warung Pedas Raya;4.8;Restaurant;POINT(110.8245388 -7.5745317);;;409
Warung kuliner 69;4.4;Family-friendly;POINT(110.788202 -7.561191);;;26
SELAT LARAS;4.4;Restaurant;POINT(110.8534782 -7.5636829);;;146
Tahu Kupat Sari (Pak Jo Brewok);4.4;Breakfast;POINT(110.813436 -7.557633);;;412
Gultik & Gongso 45;4.3;Restaurant;POINT(110.8300248 -7.5743046);;;572
Warung Pecel dan Sop Dewi - Rumah Makan Pecel Dewi;4.5;Breakfast;POINT(110.8162601 -7.5744617);;;639
Kuliner Sekar Keprabon;4.9;Fast Food;POINT(110.823339 -7.5649031);;;10
Goela Klapa Authentic Indonesian Cuisine;4.3;Indonesian;POINT(110.8094525 -7.5565971);;;1235
Mie Gacoan Solo Jebres;4.6;Noodle Shop;POINT(110.835839 -7.561813);;;6551
Rumah Makan Griya Kuliner;5;Restaurant;POINT(110.8281097 -7.5681985);;;2
Ayam Kampung Goreng Mbah Karto Tembel 2;4.5;Chicken;POINT(110.8323981 -7.5648758);;;6972
Bu Parmi's Nasi Liwet & Cabuk Rambak;4.6;Sundanese restaurant;POINT(110.8210155 -7.5809585);;;1505
Dapur Asli Solo;4.4;Breakfast;POINT(110.8221879 -7.5765433);;;414
Uma Yum Cha Dimsum;4.6;Restaurant;POINT(110.8312566 -7.5686083);;;2590
COPA;4.6;Restaurant;POINT(110.8455694 -7.558699);;;96
Hj.Fatimah Soto Restaurant;4.5;Breakfast;POINT(110.8091539 -7.576402);;;10333
Makanan India (Paper/Papadam) - Paper Solo (Bu Yeni);4.9;Restaurant;POINT(110.836086 -7.5743806);;;16
Kuliner Keprabon;4.3;Indonesian;POINT(110.8225792 -7.5686836);;;14
Depot Makan Eco Roso;4.4;Breakfast;POINT(110.8199011 -7.5736795);;;182
Tengkleng Kambing Bu Pon;4.4;Satay restaurant;POINT(110.832932 -7.571246);;;712
Bakso Alex Mangkunegaran;4.5;Bakso restaurant;POINT(110.8205271 -7.5656105);;;4347
Warung Si Om Ratno. F;4.8;Brunch;POINT(110.8468339 -7.5615575);;;33
Ukm Kuliner Ben Barokah;5;Restaurant;POINT(110.8131902 -7.5526163);;;2
Penyetan 45;4.2;Restaurant;POINT(110.8296738 -7.5755424);;;1009
Kuliner Bu Wiwik;5;Restaurant;POINT(110.8034426 -7.5702632);;;14
Ono solo coffee;4.7;Restaurant;POINT(110.8222396 -7.5695655);;;1763
Rujak Cingur Prabu;4.5;Javanese restaurant;POINT(110.8268628 -7.5645264);;;433
Selat Solo Sasmito;5;Breakfast;POINT(110.82745 -7.575574);;;8
Warung Makan Mie Thoprak dan Dhawet Gempol Pleret Mangkuyudan;4.5;Restaurant;POINT(110.804642 -7.5701132);;;1054
Kuliner KULKASE MARNI;5;Restaurant;POINT(110.8239961 -7.5598289);;;25
"Waroeng Spesial Sambal ""SS"" Manahan";4.5;Diner;POINT(110.8070248 -7.5596388);;;7320
Wedangan Lawang Djoendjing;4.2;Restaurant;POINT(110.8317615 -7.5432481);;;1690
"Lenjongan ""Yu Sum"" Ps.Gedhe";4.4;Hawker stall;POINT(110.8317672 -7.5689621);;;60
"Makanan Khas Solo & Grabah ""Bu Siti Maryam""";5;Hawker stall;POINT(110.8321179 -7.5680908);;;2
Mr Petruk Seafood Restaurant;4.4;Seafood;POINT(110.8179153 -7.5668769);;;1801
Pusat Kuliner Pasar Klewer lantai 4;3;Brunch;POINT(110.8271062 -7.5755064);;;1
Petolo Mayang;4.5;Restaurant;POINT(110.8220018 -7.5681017);;;79
Serabi Khas Notosuman H. Oemar;4.6;Bakery;POINT(110.8195524 -7.5776659);;;885
Sate Babi Ong;4.5;Satay restaurant;POINT(110.8343502 -7.5668539);;;849
"Babi Kuah ""Pak No"" Ps.Gedhe";4.8;Hawker stall;POINT(110.8321042 -7.5688547);;;138
Pasar kuliner sargede;4.3;Brunch;POINT(110.8319274 -7.5696351);;;4
RM Warung Kita;4.5;Chinese;POINT(110.8169491 -7.5700602);;;919
